               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.053063,             0.02185,            0.061219,             0.32588,             0.46394,              0.3954,             0.22684,            0.031713,           0.0081276,             0.05304,            0.070093,            0.003323,            0.003323
                   1,            0.038243,           0.0090129,            0.030722,               0.676,             0.87195,             0.84844,             0.54624,            0.030837,            0.005372,            0.015191,            0.040071,           0.0066344,           0.0066344
                   2,            0.035579,           0.0074855,            0.013727,             0.83165,             0.82463,             0.89242,             0.56638,             0.02676,           0.0054726,            0.014542,            0.010027,           0.0099238,           0.0099238
                   3,            0.030487,           0.0073845,            0.012986,             0.89073,             0.87446,              0.9275,             0.69893,             0.02171,           0.0050613,            0.012084,            0.009901,            0.009901,            0.009901
                   4,            0.027267,            0.006753,            0.010547,               0.921,             0.90132,             0.95379,             0.75368,            0.019213,           0.0047006,           0.0090292,            0.009901,            0.009901,            0.009901
                   5,              0.0249,           0.0064649,           0.0090129,             0.93247,             0.92363,             0.96215,             0.77554,            0.017476,           0.0045819,           0.0078443,            0.009868,            0.009868,            0.009868
                   6,             0.02362,           0.0061702,           0.0081004,             0.87469,             0.84546,             0.91091,             0.73895,            0.017459,           0.0049321,            0.015173,            0.009835,            0.009835,            0.009835
                   7,            0.022477,           0.0060155,           0.0074893,             0.95743,             0.94025,             0.97696,               0.826,            0.014597,           0.0040292,            0.006335,            0.009802,            0.009802,            0.009802
                   8,            0.021545,           0.0058951,           0.0068387,             0.93078,             0.92261,             0.96711,             0.81163,            0.014519,           0.0039448,           0.0084636,            0.009769,            0.009769,            0.009769
                   9,            0.020994,           0.0057382,           0.0064894,             0.97475,             0.97488,             0.98995,             0.85105,              0.0135,           0.0036834,           0.0028787,            0.009736,            0.009736,            0.009736
                  10,            0.020249,            0.005661,           0.0059112,             0.97664,             0.97434,             0.98932,             0.85095,            0.013256,           0.0035285,           0.0033683,            0.009703,            0.009703,            0.009703
                  11,            0.019428,           0.0054098,           0.0055582,             0.95443,             0.94737,             0.98401,             0.85273,               0.013,           0.0036081,           0.0054158,             0.00967,             0.00967,             0.00967
                  12,            0.018877,           0.0053432,           0.0053509,             0.97858,             0.97775,             0.99008,             0.86781,            0.011928,           0.0033459,           0.0030952,            0.009637,            0.009637,            0.009637
                  13,            0.018311,           0.0051885,           0.0051308,             0.96867,             0.97918,             0.99001,             0.87358,            0.011428,           0.0033099,           0.0030459,            0.009604,            0.009604,            0.009604
                  14,            0.018152,           0.0051861,           0.0047296,             0.98049,             0.98021,             0.99072,             0.87659,            0.011394,           0.0031908,            0.002524,            0.009571,            0.009571,            0.009571
                  15,            0.017681,           0.0050773,           0.0044896,             0.97503,             0.97661,              0.9915,             0.88643,             0.01072,           0.0031075,           0.0033475,            0.009538,            0.009538,            0.009538
                  16,            0.017054,           0.0048571,           0.0038813,             0.98082,             0.97812,             0.99098,             0.88617,            0.010546,           0.0030904,           0.0028141,            0.009505,            0.009505,            0.009505
                  17,             0.01667,           0.0048794,           0.0038621,             0.98007,             0.98561,             0.99156,             0.88635,            0.010574,           0.0030369,           0.0022414,            0.009472,            0.009472,            0.009472
                  18,            0.016645,           0.0048987,           0.0037139,             0.98622,             0.99316,             0.99334,             0.89382,           0.0099517,            0.002946,           0.0016907,            0.009439,            0.009439,            0.009439
                  19,            0.016103,           0.0047673,           0.0036642,             0.97483,             0.98061,             0.99177,             0.89159,            0.010356,           0.0029815,           0.0028769,            0.009406,            0.009406,            0.009406
