,TP,FN,FP,Recall,Precision,F1 Score
Ascaris lumbricoides,150.0,57.0,12.0,0.7246376811594203,0.9259259259259259,0.8130081300813008
Capillaria philippinensis,174.0,29.0,19.0,0.8571428571428571,0.9015544041450777,0.8787878787878788
Enterobius vermicularis,187.0,13.0,5.0,0.935,0.9739583333333334,0.9540816326530612
Fasciolopsis buski,189.0,10.0,11.0,0.949748743718593,0.945,0.9473684210526316
Hookworm,195.0,8.0,20.0,0.9605911330049262,0.9069767441860465,0.9330143540669857
Hymenolepis diminuta,200.0,0.0,118.0,1.0,0.6289308176100629,0.7722007722007722
Hymenolepis nana,120.0,83.0,6.0,0.5911330049261084,0.9523809523809523,0.7294832826747721
Opisthorchis viverrine,178.0,22.0,13.0,0.89,0.9319371727748691,0.9104859335038362
Paragonimus spp,202.0,7.0,55.0,0.9665071770334929,0.7859922178988327,0.8669527896995708
Taenia spp,199.0,3.0,11.0,0.9851485148514851,0.9476190476190476,0.9660194174757282
Trichuris trichiura,183.0,17.0,0.0,0.915,1.0,0.9556135770234987
Overall,1977.0,249.0,270.0,0.8881401617250674,0.8798397863818425,0.8839704896042924
