,TP,FN,FP,Recall,Precision,F1 Score
Ascaris lumbricoides,150.0,57.0,60.0,0.7246376811594203,0.7142857142857143,0.7194244604316546
Capillaria philippinensis,174.0,29.0,44.0,0.8571428571428571,0.7981651376146789,0.8266033254156768
Enterobius vermicularis,187.0,13.0,67.0,0.935,0.7362204724409449,0.8237885462555066
Fasciolopsis buski,191.0,8.0,113.0,0.9597989949748744,0.6282894736842105,0.7594433399602386
Hookworm,196.0,7.0,108.0,0.9655172413793104,0.6447368421052632,0.7731755424063117
Hymenolepis diminuta,200.0,0.0,288.0,1.0,0.4098360655737705,0.5813953488372093
Hymenolepis nana,120.0,83.0,28.0,0.5911330049261084,0.8108108108108109,0.6837606837606839
Opisthorchis viverrine,178.0,22.0,33.0,0.89,0.8436018957345972,0.8661800486618004
Paragonimus spp,202.0,7.0,146.0,0.9665071770334929,0.5804597701149425,0.7253141831238779
Taenia spp,200.0,2.0,82.0,0.9900990099009901,0.7092198581560284,0.8264462809917354
Trichuris trichiura,183.0,17.0,43.0,0.915,0.8097345132743363,0.8591549295774649
Overall,1981.0,245.0,1012.0,0.889937106918239,0.6618777146675576,0.7591492623107875
