,TP,FN,FP,Recall,Precision,F1 Score
Ascaris lumbricoides,150.0,57.0,9.0,0.7246376811594203,0.9433962264150944,0.819672131147541
Capillaria philippinensis,174.0,29.0,19.0,0.8571428571428571,0.9015544041450777,0.8787878787878788
Enterobius vermicularis,187.0,13.0,2.0,0.935,0.9894179894179894,0.9614395886889462
Fasciolopsis buski,191.0,8.0,1.0,0.9597989949748744,0.9947916666666666,0.9769820971867007
Hookworm,196.0,7.0,18.0,0.9655172413793104,0.9158878504672897,0.9400479616306955
Hymenolepis diminuta,200.0,0.0,101.0,1.0,0.6644518272425249,0.7984031936127746
Hymenolepis nana,120.0,83.0,4.0,0.5911330049261084,0.967741935483871,0.7339449541284404
Opisthorchis viverrine,178.0,22.0,13.0,0.89,0.9319371727748691,0.9104859335038362
Paragonimus spp,202.0,7.0,48.0,0.9665071770334929,0.808,0.8801742919389978
Taenia spp,200.0,2.0,5.0,0.9900990099009901,0.975609756097561,0.9828009828009828
Trichuris trichiura,183.0,17.0,0.0,0.915,1.0,0.9556135770234987
Overall,1981.0,245.0,220.0,0.889937106918239,0.9000454338936847,0.8949627287101874
