Parasite,Confidence,X,Y,W,H,Image
Fasciolopsis buski,1.0,3029,1062,182,123,27_04.jpeg
Fasciolopsis buski,1.0,860,1355,304,186,29_26.jpeg
Fasciolopsis buski,1.0,1926,2698,218,130,10_30.jpeg
Fasciolopsis buski,1.0,3380,2436,276,151,19_24.jpeg
Fasciolopsis buski,1.0,804,1531,218,199,29_06.jpeg
Fasciolopsis buski,1.0,1766,1312,627,1085,07_21.jpeg
Fasciolopsis buski,1.0,1517,2908,442,244,30_27.jpeg
Fasciolopsis buski,1.0,2185,2868,822,442,03_18.jpeg
Fasciolopsis buski,1.0,1291,2884,337,508,13_08.jpeg
Fasciolopsis buski,1.0,1442,2111,638,789,16_27.jpeg
Fasciolopsis buski,1.0,3354,3221,204,222,27_08.jpeg
Fasciolopsis buski,1.0,2810,1973,424,757,21_23.jpeg
Fasciolopsis buski,1.0,2761,2287,196,135,16_00.jpeg
Fasciolopsis buski,1.0,1528,1893,512,389,04_05.jpeg
Fasciolopsis buski,1.0,1337,2845,204,332,12_02.jpeg
Fasciolopsis buski,1.0,745,2137,307,397,19_31.jpeg
Fasciolopsis buski,1.0,1532,2815,203,357,23_28.jpeg
Fasciolopsis buski,1.0,2350,2123,429,711,25_08.jpeg
Fasciolopsis buski,1.0,767,1546,839,404,23_17.jpeg
Fasciolopsis buski,1.0,1397,3120,235,116,23_06.jpeg
Fasciolopsis buski,1.0,3208,2734,283,398,03_12.jpeg
Fasciolopsis buski,1.0,1010,2285,615,410,02_17.jpeg
Fasciolopsis buski,1.0,2388,3378,420,316,08_26.jpeg
Fasciolopsis buski,1.0,1133,2562,153,190,00_11.jpeg
Fasciolopsis buski,1.0,2401,2191,144,252,27_23.jpeg
Fasciolopsis buski,1.0,2932,2628,190,213,31_15.jpeg
Fasciolopsis buski,1.0,2455,1703,650,508,26_30.jpeg
Fasciolopsis buski,1.0,2012,2771,170,259,13_01.jpeg
Fasciolopsis buski,1.0,2796,1453,369,552,14_17.jpeg
Fasciolopsis buski,1.0,2700,3412,481,648,25_30.jpeg
Fasciolopsis buski,1.0,2934,1289,162,273,25_07.jpeg
Fasciolopsis buski,1.0,3145,675,135,209,29_17.jpeg
Fasciolopsis buski,1.0,3597,1283,115,169,16_16.jpeg
Fasciolopsis buski,1.0,1289,2608,253,384,12_15.jpeg
Fasciolopsis buski,1.0,1206,2687,410,263,30_22.jpeg
Fasciolopsis buski,1.0,3273,963,236,124,06_00.jpeg
Fasciolopsis buski,1.0,2352,1850,406,201,12_28.jpeg
Fasciolopsis buski,1.0,1689,2519,178,99,19_05.jpeg
Fasciolopsis buski,1.0,2148,1832,234,266,24_17.jpeg
Fasciolopsis buski,1.0,2687,2880,850,643,28_04.jpeg
Fasciolopsis buski,1.0,2073,1882,666,374,03_19.jpeg
Fasciolopsis buski,1.0,1536,2251,309,378,19_14.jpeg
Fasciolopsis buski,1.0,2074,3687,140,253,11_03.jpeg
Fasciolopsis buski,1.0,1949,1571,196,304,09_25.jpeg
Fasciolopsis buski,1.0,2674,1983,154,237,07_12.jpeg
Fasciolopsis buski,1.0,1209,1282,482,372,09_10.jpeg
Fasciolopsis buski,1.0,2658,2243,600,762,26_09.jpeg
Fasciolopsis buski,1.0,2339,2291,758,593,01_18.jpeg
Fasciolopsis buski,1.0,3201,802,180,169,09_06.jpeg
