Parasite,Confidence,X,Y,W,H,Image
Opisthorchis viverrine,1.0,2887,952,34,58,30_24.jpeg
Opisthorchis viverrine,1.0,3407,2348,159,100,01_24.jpeg
Opisthorchis viverrine,1.0,1852,2512,25,46,04_09.jpeg
Opisthorchis viverrine,1.0,2521,1880,73,39,18_01.jpeg
Opisthorchis viverrine,1.0,2762,1335,47,62,25_01.jpeg
Opisthorchis viverrine,1.0,2839,1049,171,90,19_08.jpeg
Opisthorchis viverrine,1.0,854,2902,29,35,23_22.jpeg
Opisthorchis viverrine,1.0,2275,2480,80,111,30_09.jpeg
Opisthorchis viverrine,1.0,2731,992,44,44,01_16.jpeg
Opisthorchis viverrine,1.0,2614,1877,103,141,31_22.jpeg
Opisthorchis viverrine,1.0,1691,1214,58,43,00_03.jpeg
Opisthorchis viverrine,1.0,1822,1117,216,166,16_18.jpeg
Opisthorchis viverrine,1.0,2864,1432,59,58,21_04.jpeg
Opisthorchis viverrine,1.0,3115,3003,54,63,23_00.jpeg
Opisthorchis viverrine,1.0,2220,2266,264,127,08_12.jpeg
Opisthorchis viverrine,1.0,1172,2183,54,32,04_29.jpeg
Opisthorchis viverrine,1.0,2206,1605,49,30,01_17.jpeg
Opisthorchis viverrine,1.0,2318,2450,76,44,21_09.jpeg
Opisthorchis viverrine,1.0,1533,2880,223,272,27_14.jpeg
Opisthorchis viverrine,1.0,1462,843,160,107,06_09.jpeg
Opisthorchis viverrine,1.0,2465,2145,49,63,23_18.jpeg
Opisthorchis viverrine,1.0,2310,3135,38,35,29_18.jpeg
Opisthorchis viverrine,1.0,1025,1577,49,58,19_13.jpeg
Opisthorchis viverrine,1.0,986,3022,173,84,26_00.jpeg
Opisthorchis viverrine,1.0,1268,2040,48,58,30_30.jpeg
Opisthorchis viverrine,1.0,3089,3117,32,47,29_09.jpeg
Opisthorchis viverrine,1.0,2482,3084,81,156,24_03.jpeg
Opisthorchis viverrine,1.0,939,2427,124,118,31_00.jpeg
Opisthorchis viverrine,1.0,2455,2792,57,81,12_11.jpeg
Opisthorchis viverrine,1.0,1942,1616,26,51,23_12.jpeg
Opisthorchis viverrine,1.0,1958,2261,122,68,01_06.jpeg
Opisthorchis viverrine,1.0,2043,2513,36,53,08_27.jpeg
Opisthorchis viverrine,1.0,2870,2345,96,193,29_06.jpeg
Opisthorchis viverrine,1.0,1352,943,57,47,06_06.jpeg
Opisthorchis viverrine,1.0,1951,2388,99,216,29_13.jpeg
Opisthorchis viverrine,1.0,2660,2476,31,48,16_31.jpeg
Opisthorchis viverrine,1.0,3223,1522,42,28,04_30.jpeg
Opisthorchis viverrine,1.0,1604,1297,36,72,28_31.jpeg
Opisthorchis viverrine,1.0,1920,3237,55,86,02_24.jpeg
Opisthorchis viverrine,1.0,1899,3072,88,46,24_16.jpeg
Opisthorchis viverrine,1.0,2636,2532,72,37,22_31.jpeg
Opisthorchis viverrine,1.0,2079,1008,79,46,03_19.jpeg
Opisthorchis viverrine,1.0,963,2877,54,29,18_00.jpeg
Opisthorchis viverrine,1.0,1586,972,38,65,04_01.jpeg
Opisthorchis viverrine,1.0,772,1172,28,51,12_22.jpeg
Opisthorchis viverrine,1.0,1078,3521,60,32,24_02.jpeg
Opisthorchis viverrine,1.0,895,3498,44,27,29_22.jpeg
Opisthorchis viverrine,1.0,2875,1725,40,49,29_16.jpeg
Opisthorchis viverrine,1.0,1475,2232,113,64,24_14.jpeg
Opisthorchis viverrine,1.0,1010,3247,65,93,28_06.jpeg
