Parasite,Confidence,X,Y,W,H,Image
Trichuris trichiura,1.0,3256,2698,127,82,10_28.jpeg
Trichuris trichiura,1.0,1633,1559,107,106,14_13.jpeg
Trichuris trichiura,1.0,1137,991,108,128,04_07.jpeg
Trichuris trichiura,1.0,2361,2966,109,122,28_04.jpeg
Trichuris trichiura,1.0,1081,3127,48,82,23_03.jpeg
Trichuris trichiura,1.0,2463,2437,187,239,10_06.jpeg
Trichuris trichiura,1.0,793,3029,122,65,02_26.jpeg
Trichuris trichiura,1.0,1769,1965,39,76,25_24.jpeg
Trichuris trichiura,1.0,2293,2205,221,190,22_22.jpeg
Trichuris trichiura,1.0,766,2037,240,455,13_22.jpeg
Trichuris trichiura,1.0,1861,929,94,47,19_08.jpeg
Trichuris trichiura,1.0,954,2802,198,98,25_01.jpeg
Trichuris trichiura,1.0,1303,2503,105,67,00_29.jpeg
Trichuris trichiura,1.0,2692,2053,93,140,06_22.jpeg
Trichuris trichiura,1.0,1600,3129,255,272,02_18.jpeg
Trichuris trichiura,1.0,2549,1200,232,345,08_30.jpeg
Trichuris trichiura,1.0,2262,3020,224,290,15_14.jpeg
Trichuris trichiura,1.0,2476,3357,125,154,17_22.jpeg
Trichuris trichiura,1.0,3232,2988,293,140,02_05.jpeg
Trichuris trichiura,1.0,3030,852,108,55,00_31.jpeg
Trichuris trichiura,1.0,3549,2193,157,194,18_02.jpeg
Trichuris trichiura,1.0,1789,1821,80,81,06_25.jpeg
Trichuris trichiura,1.0,1598,1184,76,73,31_12.jpeg
Trichuris trichiura,1.0,3041,2388,88,61,24_20.jpeg
Trichuris trichiura,1.0,2701,1344,167,306,10_02.jpeg
Trichuris trichiura,1.0,2641,2414,90,73,20_27.jpeg
Trichuris trichiura,1.0,2589,3189,68,143,04_12.jpeg
Trichuris trichiura,1.0,2062,2050,356,201,08_08.jpeg
Trichuris trichiura,1.0,2298,2487,113,127,04_30.jpeg
Trichuris trichiura,1.0,1517,2664,76,145,07_21.jpeg
Trichuris trichiura,1.0,920,1091,165,159,11_27.jpeg
Trichuris trichiura,1.0,2354,1593,47,95,12_19.jpeg
Trichuris trichiura,1.0,2784,2013,196,97,09_30.jpeg
Trichuris trichiura,1.0,1357,2559,97,56,06_21.jpeg
Trichuris trichiura,1.0,2164,3179,79,69,28_02.jpeg
Trichuris trichiura,1.0,2827,1133,155,251,13_27.jpeg
Trichuris trichiura,1.0,3155,1327,196,165,23_16.jpeg
Trichuris trichiura,1.0,1576,1408,108,114,18_06.jpeg
Trichuris trichiura,1.0,3297,1337,124,64,26_19.jpeg
Trichuris trichiura,1.0,2713,2268,87,62,18_26.jpeg
Trichuris trichiura,1.0,3365,2280,52,87,03_22.jpeg
Trichuris trichiura,1.0,780,1198,173,106,02_02.jpeg
Trichuris trichiura,1.0,1759,1903,125,107,09_18.jpeg
Trichuris trichiura,1.0,837,710,147,294,13_28.jpeg
Trichuris trichiura,1.0,3406,2217,78,47,22_10.jpeg
Trichuris trichiura,1.0,2808,2354,186,142,04_15.jpeg
Trichuris trichiura,1.0,1977,933,197,160,11_31.jpeg
Trichuris trichiura,1.0,1694,2719,55,84,20_02.jpeg
Trichuris trichiura,1.0,3032,1219,86,100,24_22.jpeg
Trichuris trichiura,1.0,1819,2488,95,121,24_28.jpeg
