Parasite,Confidence,X,Y,W,H,Image
Capillaria philippinensis,1.0,2113,790,77,45,19_20.jpeg
Capillaria philippinensis,1.0,2712,2691,78,41,29_06.jpeg
Capillaria philippinensis,1.0,1507,1417,75,121,21_09.jpeg
Capillaria philippinensis,1.0,3127,965,123,65,25_16.jpeg
Capillaria philippinensis,1.0,2475,1456,73,134,26_18.jpeg
Capillaria philippinensis,1.0,1927,1595,43,74,19_04.jpeg
Capillaria philippinensis,1.0,2736,1415,58,91,27_30.jpeg
Capillaria philippinensis,1.0,1541,1219,75,42,24_24.jpeg
Capillaria philippinensis,1.0,1344,1324,97,72,28_18.jpeg
Capillaria philippinensis,1.0,2067,2233,132,62,25_24.jpeg
Capillaria philippinensis,1.0,1104,3126,59,107,14_19.jpeg
Capillaria philippinensis,1.0,2225,2645,89,129,30_04.jpeg
Capillaria philippinensis,1.0,2210,1232,211,214,02_24.jpeg
Capillaria philippinensis,1.0,920,1180,50,102,17_28.jpeg
Capillaria philippinensis,1.0,2400,1785,51,88,08_01.jpeg
Capillaria philippinensis,1.0,1558,2234,69,50,02_23.jpeg
Capillaria philippinensis,1.0,3056,1868,47,81,07_26.jpeg
Capillaria philippinensis,1.0,3351,1995,64,99,30_24.jpeg
Capillaria philippinensis,1.0,2918,3254,52,82,15_24.jpeg
Capillaria philippinensis,1.0,1905,2417,75,45,24_17.jpeg
Capillaria philippinensis,1.0,1662,3092,223,120,13_18.jpeg
Capillaria philippinensis,1.0,1839,2008,58,114,08_22.jpeg
Capillaria philippinensis,1.0,1610,1970,59,91,12_07.jpeg
Capillaria philippinensis,1.0,2571,1691,180,270,00_28.jpeg
Capillaria philippinensis,1.0,1770,2533,92,67,28_26.jpeg
Capillaria philippinensis,1.0,1788,3082,278,158,25_06.jpeg
Capillaria philippinensis,1.0,1415,1884,66,97,19_11.jpeg
Capillaria philippinensis,1.0,2539,2434,57,80,20_11.jpeg
Capillaria philippinensis,1.0,2448,2175,132,75,01_07.jpeg
Capillaria philippinensis,1.0,1407,1019,89,45,24_03.jpeg
Capillaria philippinensis,1.0,1586,3142,91,51,06_22.jpeg
Capillaria philippinensis,1.0,2904,1107,107,65,23_02.jpeg
Capillaria philippinensis,1.0,1652,1940,70,77,25_23.jpeg
Capillaria philippinensis,1.0,1340,1308,104,70,31_12.jpeg
Capillaria philippinensis,1.0,2979,2333,51,101,00_05.jpeg
Capillaria philippinensis,1.0,839,1604,50,88,14_00.jpeg
Capillaria philippinensis,1.0,2045,2879,72,127,17_21.jpeg
Capillaria philippinensis,1.0,882,2365,235,163,16_01.jpeg
Capillaria philippinensis,1.0,2146,3194,147,142,22_24.jpeg
Capillaria philippinensis,1.0,691,2230,168,178,27_29.jpeg
Capillaria philippinensis,1.0,674,1522,38,56,19_28.jpeg
Capillaria philippinensis,1.0,1421,1359,68,40,05_15.jpeg
Capillaria philippinensis,1.0,1423,1297,81,52,18_04.jpeg
Capillaria philippinensis,1.0,1312,1040,69,37,31_06.jpeg
Capillaria philippinensis,1.0,1035,1739,116,68,02_14.jpeg
Capillaria philippinensis,1.0,2820,1850,39,63,24_19.jpeg
Capillaria philippinensis,1.0,1788,2148,105,76,20_04.jpeg
Capillaria philippinensis,1.0,3396,991,127,130,22_04.jpeg
Capillaria philippinensis,1.0,2844,2726,85,60,22_15.jpeg
Capillaria philippinensis,1.0,1307,1657,90,57,12_05.jpeg
