                               TP     FN     FP    Recall  Precision  F1 Score
Ascaris lumbricoides        142.0   65.0    7.0  0.685990   0.953020  0.398876
Capillaria philippinensis   169.0   34.0   13.0  0.832512   0.928571  0.438961
Enterobius vermicularis     186.0   14.0    7.0  0.930000   0.963731  0.473282
Fasciolopsis buski          186.0   13.0   15.0  0.934673   0.925373  0.465000
Hookworm                    194.0    9.0   34.0  0.955665   0.850877  0.450116
Hymenolepis diminuta        196.0    4.0  122.0  0.980000   0.616352  0.378378
Hymenolepis nana            116.0   87.0   16.0  0.571429   0.878788  0.346269
Opisthorchis viverrine      171.0   29.0   16.0  0.855000   0.914439  0.441860
Paragonimus spp             196.0   13.0   52.0  0.937799   0.790323  0.428884
Taenia spp                  197.0    5.0   10.0  0.975248   0.951691  0.481663
Trichuris trichiura         174.0   26.0    0.0  0.870000   1.000000  0.465241
Overall                    1927.0  299.0  292.0  0.865678   0.868409  0.433521
