Parasite,Confidence,X,Y,W,H,Image
Hookworm,1.0,1345,2307,116,158,9_8.jpeg
Hookworm,1.0,3259,2546,87,154,1_19.jpeg
Hookworm,1.0,609,2301,53,88,18_31.jpeg
Hookworm,1.0,832,3208,137,81,9_30.jpeg
Hookworm,1.0,1158,1984,198,120,23_10.jpeg
Hookworm,1.0,2292,890,93,75,12_24.jpeg
Hookworm,1.0,3354,3607,143,122,4_12.jpeg
Hookworm,1.0,2733,2271,234,363,30_21.jpeg
Hookworm,1.0,2185,1786,127,116,4_8.jpeg
Hookworm,1.0,2958,2431,127,127,18_0.jpeg
Hookworm,1.0,3038,1127,106,119,6_12.jpeg
Hookworm,1.0,669,2973,145,209,19_10.jpeg
Hookworm,1.0,3187,910,270,460,8_20.jpeg
Hookworm,1.0,2622,1444,81,132,19_3.jpeg
Hookworm,1.0,2510,1755,72,117,19_3.jpeg
Hookworm,1.0,1413,2129,131,153,10_27.jpeg
Hookworm,1.0,1843,1685,165,100,1_8.jpeg
Hookworm,1.0,2174,1379,89,99,6_9.jpeg
Hookworm,1.0,926,1768,201,201,31_13.jpeg
Hookworm,1.0,1724,1005,144,147,24_13.jpeg
Hookworm,1.0,1104,1625,274,408,26_30.jpeg
Hookworm,1.0,2032,2004,127,142,8_6.jpeg
Hookworm,1.0,3106,2011,148,82,15_28.jpeg
Hookworm,1.0,2526,1221,77,124,18_1.jpeg
Hookworm,1.0,2480,1193,224,230,5_18.jpeg
Hookworm,1.0,1111,1313,123,105,13_9.jpeg
Hookworm,1.0,2339,2805,90,52,7_31.jpeg
Hookworm,1.0,581,2564,87,59,23_23.jpeg
Hookworm,1.0,1134,2028,133,90,15_23.jpeg
Hookworm,1.0,1588,2833,124,133,19_6.jpeg
Hookworm,1.0,3025,2819,156,132,7_29.jpeg
Hookworm,1.0,2396,1496,85,102,28_14.jpeg
Hookworm,1.0,2495,2596,433,317,30_25.jpeg
Hookworm,1.0,2311,2365,360,267,9_20.jpeg
Hookworm,1.0,2488,1858,134,127,13_5.jpeg
Hookworm,1.0,2459,1768,116,171,26_8.jpeg
Hookworm,1.0,2270,1764,158,97,6_4.jpeg
Hookworm,1.0,1892,2761,87,98,9_28.jpeg
Hookworm,1.0,1649,1043,176,167,8_29.jpeg
Hookworm,1.0,573,1448,169,257,26_11.jpeg
Hookworm,1.0,1679,1311,132,181,26_29.jpeg
Hookworm,1.0,2349,1256,162,242,20_9.jpeg
Hookworm,1.0,1864,2005,117,198,27_3.jpeg
Hookworm,1.0,582,1964,216,265,9_10.jpeg
Hookworm,1.0,1238,1493,61,84,5_15.jpeg
Hookworm,1.0,1873,1464,132,80,23_14.jpeg
Hookworm,1.0,2234,828,417,240,6_18.jpeg
Hookworm,1.0,2948,3506,99,119,0_1.jpeg
Hookworm,1.0,900,1561,71,111,29_2.jpeg
Hookworm,1.0,1247,2108,432,273,0_8.jpeg
Hookworm,1.0,1905,2713,159,115,0_13.jpeg
