Parasite,Confidence,X,Y,W,H,Image
Trichuris trichiura,1.0,1264,1188,101,55,16_17.jpeg
Trichuris trichiura,1.0,1303,3070,57,121,30_23.jpeg
Trichuris trichiura,1.0,2582,2925,81,119,24_25.jpeg
Trichuris trichiura,1.0,2141,3005,67,134,25_11.jpeg
Trichuris trichiura,1.0,2455,2438,113,128,31_2.jpeg
Trichuris trichiura,1.0,2320,2635,73,64,1_9.jpeg
Trichuris trichiura,1.0,1099,2422,365,184,20_28.jpeg
Trichuris trichiura,1.0,3299,819,105,55,2_9.jpeg
Trichuris trichiura,1.0,1662,3080,289,209,6_11.jpeg
Trichuris trichiura,1.0,2812,3012,94,63,2_10.jpeg
Trichuris trichiura,1.0,3029,1769,371,185,8_13.jpeg
Trichuris trichiura,1.0,1795,2261,90,41,25_9.jpeg
Trichuris trichiura,1.0,1136,2999,156,73,13_27.jpeg
Trichuris trichiura,1.0,3271,2192,80,143,28_21.jpeg
Trichuris trichiura,1.0,2777,1947,246,127,17_2.jpeg
Trichuris trichiura,1.0,2143,2614,141,76,21_1.jpeg
Trichuris trichiura,1.0,2227,2971,142,72,1_4.jpeg
Trichuris trichiura,1.0,3336,2891,52,86,27_19.jpeg
Trichuris trichiura,1.0,2283,2917,87,90,1_17.jpeg
Trichuris trichiura,1.0,2634,3066,47,87,21_16.jpeg
Trichuris trichiura,1.0,1065,3057,161,111,13_28.jpeg
Trichuris trichiura,1.0,732,1442,185,346,5_29.jpeg
Trichuris trichiura,1.0,845,2162,119,60,28_3.jpeg
Trichuris trichiura,1.0,2866,477,73,169,15_29.jpeg
Trichuris trichiura,1.0,2473,1514,100,148,11_24.jpeg
Trichuris trichiura,1.0,2958,2199,129,192,25_4.jpeg
Trichuris trichiura,1.0,1812,1653,120,170,0_25.jpeg
Trichuris trichiura,1.0,1843,1531,246,341,3_28.jpeg
Trichuris trichiura,1.0,2747,1137,106,80,16_22.jpeg
Trichuris trichiura,1.0,2101,3220,181,100,25_1.jpeg
Trichuris trichiura,1.0,3080,2651,45,96,19_1.jpeg
Trichuris trichiura,1.0,852,2067,127,72,9_8.jpeg
Trichuris trichiura,1.0,2207,894,108,230,0_28.jpeg
Trichuris trichiura,1.0,3109,1949,107,83,27_15.jpeg
Trichuris trichiura,1.0,1928,2109,108,216,26_6.jpeg
Trichuris trichiura,1.0,1938,3027,145,87,28_20.jpeg
Trichuris trichiura,1.0,3503,2952,49,78,23_19.jpeg
Trichuris trichiura,1.0,2695,2563,61,120,27_2.jpeg
Trichuris trichiura,1.0,1483,1957,210,114,11_1.jpeg
Trichuris trichiura,1.0,1135,2577,137,70,31_20.jpeg
Trichuris trichiura,1.0,1453,2494,292,198,4_23.jpeg
Trichuris trichiura,1.0,2384,3012,122,123,12_25.jpeg
Trichuris trichiura,1.0,2070,2286,121,131,2_31.jpeg
Trichuris trichiura,1.0,1154,2470,186,317,4_22.jpeg
Trichuris trichiura,1.0,1670,880,59,94,11_25.jpeg
Trichuris trichiura,1.0,1945,2502,506,253,0_12.jpeg
Trichuris trichiura,1.0,2110,3173,120,61,10_8.jpeg
Trichuris trichiura,1.0,1471,3232,147,230,28_7.jpeg
Trichuris trichiura,1.0,892,1859,271,177,13_6.jpeg
Trichuris trichiura,1.0,1420,2351,70,119,8_27.jpeg
